 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 1.698243652461749e-04  1.000000000000000e+00  0.000000000000000e+00  2.832100772193945e-02  1.658882834300026e-01 
 1.717908387157593e-04  1.000000000000000e+00  0.000000000000000e+00  2.896158332570609e-02  1.676985516474688e-01 
 1.737800828749381e-04  1.000000000000000e+00  0.000000000000000e+00  2.961620610855156e-02  1.695260467333776e-01 
 1.757923613958698e-04  1.000000000000000e+00  0.000000000000000e+00  3.028516394247379e-02  1.713708456255605e-01 
 1.778279410038929e-04  1.000000000000000e+00  0.000000000000000e+00  3.096874967822979e-02  1.732330223365287e-01 
 1.798870915128794e-04  1.000000000000000e+00  0.000000000000000e+00  3.166726118850487e-02  1.751126478124093e-01 
 1.819700858609990e-04  1.000000000000000e+00  0.000000000000000e+00  3.238100140922351e-02  1.770097897879108e-01 
 1.840772001468962e-04  1.000000000000000e+00  0.000000000000000e+00  3.311027837886019e-02  1.789245126372578e-01 
 1.862087136662874e-04  1.000000000000000e+00  0.000000000000000e+00  3.385540527560273e-02  1.808568772210438e-01 
 1.883649089489807e-04  1.000000000000000e+00  0.000000000000000e+00  3.461670045221453e-02  1.828069407289490e-01 
 1.905460717963254e-04  1.000000000000000e+00  0.000000000000000e+00  3.539448746843650e-02  1.847747565182731e-01 
 1.927524913190943e-04  1.000000000000000e+00  0.000000000000000e+00  3.618909512076345e-02  1.867603739482394e-01 
 1.949844599758053e-04  1.000000000000000e+00  0.000000000000000e+00  3.700085746942312e-02  1.887638382100251e-01 
 1.972422736114861e-04  1.000000000000000e+00  0.000000000000000e+00  3.783011386238033e-02  1.907851901524812e-01 
 1.995262314968887e-04  1.000000000000000e+00  0.000000000000000e+00  3.867720895618206e-02  1.928244661035047e-01 
 2.018366363681569e-04  1.000000000000000e+00  0.000000000000000e+00  3.954249273345271e-02  1.948816976870342e-01 
 2.041737944669537e-04  1.000000000000000e+00  0.000000000000000e+00  4.042632051684284e-02  1.969569116356414e-01 
 2.065380155810537e-04  1.000000000000000e+00  0.000000000000000e+00  4.132905297922761e-02  1.990501295986990e-01 
 2.089296130854048e-04  1.000000000000000e+00  0.000000000000000e+00  4.225105614994456e-02  2.011613679461075e-01 
 2.113489039836655e-04  1.000000000000000e+00  0.000000000000000e+00  4.319270141685422e-02  2.032906375675726e-01 
 2.137962089502241e-04  1.000000000000000e+00  0.000000000000000e+00  4.415436552399986e-02  2.054379436674285e-01 
 2.162718523727029e-04  1.000000000000000e+00  0.000000000000000e+00  4.513643056463606e-02  2.076032855550113e-01 
 2.187761623949562e-04  1.000000000000000e+00  0.000000000000000e+00  4.613928396938959e-02  2.097866564305906e-01 
 2.213094709605647e-04  1.000000000000000e+00  0.000000000000000e+00  4.716331848930862e-02  2.119880431668797e-01 
 2.238721138568349e-04  1.000000000000000e+00  0.000000000000000e+00  4.820893217355074e-02  2.142074260861472e-01 
